Local Time,Volume
23:00,4720.492189033684
00:00,8445.26425775583
01:00,7170.8111935661855
02:00,6506.258958912995
03:00,7234.706676506163
04:00,5668.063364726836
05:00,10316.734955684791
06:00,6868.9601698933475
07:00,7133.51176128555
08:00,9213.048805004843
09:00,7506.485756538161
10:00,6934.828642077786
11:00,7314.263628991154
12:00,8569.412882147106
13:00,8073.996408278221
14:00,7245.421176770509
15:00,5417.4595521770925
16:00,7175.764436296515
17:00,8209.594773486111
18:00,7288.175536109635
19:00,8147.13629728628
20:00,6486.505626068709
21:00,8417.716544959581
22:00,8032.15340371152
